C,H,O,N,S,P,Se,Na,Cl,13C,m/z,H/C,O/C,KM,NKM,KMD,DBE,DBE-O,13Cratio,AImod,Sep-t0-1,Sep-t0-2,Sep-t0-3,Sep-t1-1,Sep-t1-2,Sep-t1-3,Sep-t1-UF-R,Sep-t1-UF-S,Oct-t0-1,Oct-t0-2,Oct-t0-3,Oct-t1-1,Oct-t1-2,Oct-t1-3,Oct-t1-UF-R,Oct-t1-UF-S,Dec-t0-1,Dec-t0-2,Dec-t0-3,Dec-t1-1,Dec-t1-2,Dec-t1-3,Dec-t1-UF-R,Dec-t1-UF-S,Feb-t0-1,Feb-t0-2,Feb-t0-3,Feb-t1-1,Feb-t1-2,Feb-t1-3,Feb-t1-UF-R,Feb-t1-UF-S,Oct-MQ-1,Oct-MQ-2,Oct-MQ-3,Jan-MQ-A,Jan-MQ-B,Jan-MQ-C,Mar-MQ-A,Mar-MQ-B,Mar-MQ-C,may-MQ-A,may-MQ-B,may-MQ-C,jul-MQ-A,jul-MQ-B,jul-MQ-C,PLFA-1,PLFA-3
9,10,7,0,0,0,0,0,0,0,229.035376,1.11111111,0.777777778,228.779633,229,0.220367247,5,-2,0.100101112,0.272727273,445.746118,542.160858,363.834239,0,0,0,0,0,328.195077,0,340.457706,347.619523,0,374.575079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,458.890768,0
10,14,4,0,1,0,0,0,0,0,229.054003,1.4,0.4,228.798239,229,0.201760846,4,0,0.111223458,0.142857143,0,0,0,0,0,0,0,0,0,0,255.993561,398.190272,0,0,0,0,334.980733,365.4458,342.652761,423.046106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,14,6,0,0,0,0,0,0,0,229.071761,1.4,0.6,228.815978,229,0.184022475,4,-2,0.111223458,0.142857143,0,0,1994.79145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2421.8041,2186.4184,3103.53094,1755.04654,1964.76163,1988.45128,2293.77621,1825.6789,2527.42432,1867.74096,2576.29238,2804.49741,0,2356.64582,2315.04579,0,0
11,18,5,0,0,0,0,0,0,0,229.108147,1.63636364,0.454545455,228.852322,229,0.147677703,3,-2,0.122345804,0.0588235294,0,0,1473.20033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3539.65426,3274.10529,0,4834.61051,3338.17531,3273.99618,3386.12223,3132.05741,3897.43003,2808.50804,3698.97146,3963.3903,3130.47912,3166.21765,3046.61203,0,0
12,22,4,0,0,0,0,0,0,0,229.144532,1.83333333,0.333333333,228.888667,229,0.111332931,2,-2,0.13346815,0,1526.44238,1281.77304,1302.59676,355.967287,317.411196,308.370129,274.974381,245.526345,233.222674,240.733476,240.089746,256.533328,313.919904,272.844245,241.465658,243.820051,273.073033,244.988774,248.891589,383.152804,262.914716,213.947824,220.455085,213.661714,224.825181,0,237.836967,0,0,0,0,341.957353,3960.19262,3666.02276,13768.7155,0,4269.71033,4275.86494,5339.52131,0,6414.39973,3771.853,5048.65513,5361.19848,4525.26392,4318.7222,4942.72824,2097.81029,3081.77196
13,26,3,0,0,0,0,0,0,0,229.180917,2,0.230769231,228.925012,229,0.0749881597,1,-2,0.144590495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4731.16088,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,13,6,1,0,0,0,0,0,0,230.06701,1.44444444,0.666666667,229.810115,230,0.189884779,3,-3,0.100101112,0,0,0,0,0,0,0,0,0,94.1392639,0,105.761585,0,0,0,0,0,0,0,93.7120408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,12,7,0,0,0,0,0,0,0,231.051026,1.33333333,0.777777778,230.793032,231,0.206967939,4,-3,0.100101112,0.0909090909,988.882322,1004.04321,702.778668,0,0,0,0,0,488.470025,0,495.080006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1217.18094,2542.8502
10,16,6,0,0,0,0,0,0,0,231.087411,1.6,0.6,230.829377,231,0.170623168,3,-3,0.111223458,0,0,0,2954.4737,0,949.055951,0,913.298263,818.918325,808.349886,844.347196,827.383167,801.813784,0,0,788.56047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3839.70987,3513.90333,5893.22297,3640.07638,3427.11943,3329.85253,3664.58621,3107.67854,4161.49074,3326.81452,4413.16644,4801.3059,3074.37651,3429.32638,3434.75003,0,0
11,20,5,0,0,0,0,0,0,0,231.123796,1.81818182,0.454545455,230.865722,231,0.134278396,2,-3,0.122345804,0,1012.60813,0,749.326017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1726.68232,6805.86992,2179.50492,1865.09373,1786.23202,2011.35253,1894.73324,2265.64832,1676.07149,2241.60552,2363.97714,0,0,1826.28078,0,0
12,24,4,0,0,0,0,0,0,0,231.160182,2,0.333333333,230.902066,231,0.0979336242,1,-3,0.13346815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7327.61922,0,0,0,0,0,0,0,0,0,0,0,0,0,0
